Country,Presidency,President,Wikipedia_Entry,Took_office,Left_office,Party
India,1,Rajendra Prasad,http://en.wikipedia.org/wiki/Rajendra_Prasad,26-Jan-50,13-May-62,
India,2,Sarvepalli Radhakrishnan,http://en.wikipedia.org/wiki/Sarvepalli_Radhakrishnan,13-May-62,13-May-67,
India,3,Zakir Hussain,http://en.wikipedia.org/wiki/Zakir_Hussain_%28politician%29,13-May-67,3-May-69,
India,4,Varahagiri Venkata Giri,http://en.wikipedia.org/wiki/V._V._Giri,24-Aug-69,24-Aug-74,
India,5,Fakhruddin Ali Ahmed,http://en.wikipedia.org/wiki/Fakhruddin_Ali_Ahmed,24-Aug-74,11-Feb-77,
India,6,Neelam Sanjiva Reddy,http://en.wikipedia.org/wiki/Neelam_Sanjiva_Reddy,25-Jul-77,25-Jul-82,
India,7,Giani Zail Singh,http://en.wikipedia.org/wiki/Zail_Singh,25-Jul-82,25-Jul-87,
India,8,Ramaswamy Venkataraman,http://en.wikipedia.org/wiki/R._Venkataraman,25-Jul-87,25-Jul-92,
India,9,Shankar Dayal Sharma,http://en.wikipedia.org/wiki/Shankar_Dayal_Sharma,25-Jul-92,25-Jul-97,
India,10,Kocheril Raman Narayanan,http://en.wikipedia.org/wiki/K._R._Narayanan,25-Jul-97,25-Jul-02,
India,11,A. P. J. Abdul Kalam,http://en.wikipedia.org/wiki/A._P._J._Abdul_Kalam,25-Jul-02,25-Jul-07,
India,12,Pratibha Patil,http://en.wikipedia.org/wiki/Pratibha_Patil,25-Jul-07,25-Jul-12,
India,13,Pranab Mukherjee,http://en.wikipedia.org/wiki/Pranab_Mukherjee,25-Jul-12,Incumbent,
Pakistan,1,Iskander Mirza,,23-Mar-56,27-Oct-58,
Pakistan,2,Ayub Khan,,27-Oct-58,8-Jun-62,
Pakistan,3,Yahya Khan,,25-Mar-69,20-Dec-71,
Pakistan,4,Zulfikar Ali Bhutto,,20-Dec-71,13-Aug-73,
Pakistan,5,Fazal Ilahi Chaudhry,,14-Aug-73,16-Sep-78,
Pakistan,6,Muhammad Zia-ul-Haq,,16-Sep-78,17-Aug-88,
Pakistan,7,Ghulam Ishaq Khan,,17-Aug-88,18-Jul-93,
Pakistan,8,Wasim Sajjad,,18-Jul-93,14-Nov-93,
Pakistan,9,Farooq Leghari,,14-Nov-93,2-Dec-97,
Pakistan,10,Wasim Sajjad,,2-Dec-97,1-Jan-98,
Pakistan,11,Muhammad Rafiq Tarar,,1-Jan-98,20-Jun-01,
Pakistan,12,Pervez Musharraf,,20-Jun-01,6-Oct-07,
Pakistan,13,Muhammad Mian Soomro,,18-Aug-08,9-Sep-08,
Pakistan,14,Asif Ali Zardari,,9-Sep-08,8-Sep-13,
Pakistan,15,Mamnoon Hussain,,8-Sep-13,Incumbent,
People's Republic of China,1,Mao Zedong,,27-Sep-54,27-Apr-59,
People's Republic of China,2,Liu Shaoqi,,27-Apr-59,31-Oct-68,
People's Republic of China,3,Li Xiannian,,18-Jun-83,8-Apr-88,
People's Republic of China,4,Yang Shangkun,,8-Apr-88,27-Mar-93,
People's Republic of China,5,Jiang Zemin,,27-Mar-93,15-Mar-03,
People's Republic of China,6,Hu Jintao,,15-Mar-03,14-Mar-13,
People's Republic of China,7,Xi Jinping,,14-Mar-13,Incumbent,
Russia,1,Boris Yeltsin,,10-Jul-91,31-Dec-99,
Russia,2,Vladimir Putin,,31-Dec-99,7-May-08,
Russia,3,Dmitry Medvedev,,7-May-08,7-May-12,
Russia,4,Vladimir Putin,,7-May-12,Incumbent,
Argentina,1,Bernardino Rivadavia,http://en.wikipedia.org/wiki/Bernardino_Rivadavia,8 Feb 1826,7 Jul 1827,
Argentina,2,Vicente López y Planes,http://en.wikipedia.org/wiki/Vicente_L%C3%B3pez_y_Planes,7 Jul 1827,18 Aug 1827,
Argentina,3,Justo José de Urquiza,http://en.wikipedia.org/wiki/Justo_Jos%C3%A9_de_Urquiza,5 Mar 1854,5 Mar 1860,
Argentina,4,Santiago Derqui,http://en.wikipedia.org/wiki/Santiago_Derqui,5 Mar 1860,4 Nov 1861,
Argentina,5,Juan Esteban Pedernera,http://en.wikipedia.org/wiki/Juan_Esteban_Pedernera,4 Nov 1861,12 Dec 1861,
Argentina,6,Bartolomé Mitre,http://en.wikipedia.org/wiki/Bartolom%C3%A9_Mitre,12 Dec 1861,12 Oct 1868,
Argentina,7,Domingo Faustino Sarmiento,http://en.wikipedia.org/wiki/Domingo_Faustino_Sarmiento,12 Oct 1868,12 Oct 1874,
Argentina,8,Nicolás Avellaneda,http://en.wikipedia.org/wiki/Nicol%C3%A1s_Avellaneda,12 Oct 1874,12 Oct 1880,
Argentina,9,Julio Argentino Roca,http://en.wikipedia.org/wiki/Julio_Argentino_Roca,12 Oct 1880,12 Oct 1886,
Argentina,10,Miguel Juárez Celman ,http://en.wikipedia.org/wiki/Miguel_Ju%C3%A1rez_Celman,12 Oct 1886,6 Aug 1890,
Argentina,11,Carlos Pellegrini ,http://en.wikipedia.org/wiki/Carlos_Pellegrini,6 Aug 1890,12 Oct 1892,
Argentina,12,Luis Sáenz Peña,http://en.wikipedia.org/wiki/Luis_S%C3%A1enz_Pe%C3%B1a,12 Oct 1892,22 Jan 1895,
Argentina,13,José Evaristo Uriburu,http://en.wikipedia.org/wiki/Jos%C3%A9_Evaristo_Uriburu,22 Jan 1895,12 Oct 1898,
Argentina,14,Julio Argentino Roca,http://en.wikipedia.org/wiki/Julio_Argentino_Roca,12 Oct 1898,12-Oct-04,
Argentina,15,Manuel Quintana,http://en.wikipedia.org/wiki/Manuel_Quintana,12-Oct-04,25-Jan-06,
Argentina,16,José Figueroa Alcorta,http://en.wikipedia.org/wiki/Jos%C3%A9_Figueroa_Alcorta,25-Jan-06,12-Oct-10,
Argentina,17,Roque Sáenz Peña,http://en.wikipedia.org/wiki/Roque_S%C3%A1enz_Pe%C3%B1a,12-Oct-10,9-Aug-14,
